epoch,lr,loss,iou,val_loss,val_iou
0,0.001,1.285625935,0.066189866,1.213751316,0.084747314
1,0.001,1.225086153,0.11947614,1.198158383,0.01167445
2,0.001,1.147609413,0.410185901,1.18527317,6.00E-10
3,0.001,1.155667722,0.363028493,1.204823256,0.068411729
4,0.001,1.111010492,0.508561909,1.257528067,0.078381004
5,0.001,1.151829898,0.272032103,1.289624333,0.080206605
6,0.001,1.096268415,0.471554154,1.296612859,0.080202339
7,0.001,1.110902667,0.42133256,1.347759604,0.080748324
8,0.001,1.07668376,0.510320203,1.440395832,0.081871961
9,0.001,1.070015132,0.5630958,1.415281296,0.081850721
10,0.001,1.101303697,0.39749714,1.389360666,0.081255796
11,0.001,1.095981002,0.401325085,1.277956009,0.079567206
12,0.001,1.065743685,0.422313809,1.215569973,0.077782086
13,0.001,1.098990023,0.256465549,1.221940875,0.077945712
14,0.001,1.066861153,0.374459016,1.304765463,0.080075408
15,0.001,1.036153913,0.444676431,1.332553864,0.080071318
16,0.001,1.030655026,0.54408593,1.275777936,0.078405782
17,0.001,1.063829839,0.328368317,1.144289494,6.00E-10
18,0.001,1.081618547,0.199927906,1.114487529,6.00E-10
19,0.001,1.057368159,0.312044168,1.159474373,6.00E-10
20,0.001,1.015143275,0.517796193,1.184840322,6.00E-10
21,0.001,1.02404362,0.381718184,1.109495163,6.00E-10
22,0.001,1.000573605,0.448652355,1.154811859,6.00E-10
23,0.001,1.02066946,0.408404606,1.447498322,0.07831578
24,0.001,1.006376147,0.467486761,1.72330606,0.079783748
25,0.001,1.019419611,0.460529369,1.411002994,0.073273744
26,0.001,1.019730896,0.377916691,1.278289318,0.061227093
27,0.001,0.960667372,0.58426361,1.411022186,0.069871247
28,0.001,0.969327718,0.537081773,1.477846861,0.072592466
29,0.001,0.981455535,0.418551113,1.082275152,6.00E-10
30,0.001,0.967440099,0.354723089,1.083181381,6.00E-10
31,0.001,0.991083026,0.274227065,1.093835711,6.00E-10
32,0.001,0.983848095,0.386669179,1.107804894,6.00E-10
33,0.001,0.927176684,0.549300291,1.11698544,6.00E-10
34,0.001,0.911593735,0.61671439,1.088812113,6.00E-10
35,0.001,0.958308846,0.402990269,1.060461402,6.00E-10
36,0.001,0.933582038,0.454688728,1.050324082,6.00E-10
37,0.001,0.928420722,0.492346591,1.051109314,6.00E-10
38,0.001,0.96609199,0.356682654,1.060941696,6.00E-10
39,0.001,0.888937116,0.503674014,1.073907852,6.00E-10
40,0.001,0.925735652,0.462530149,1.089055538,0.008222303
41,0.001,0.893856555,0.535349383,1.055622339,0.000720159
42,0.001,0.898274571,0.480394603,1.026878119,0.000540152
43,0.001,0.899127573,0.4759213,0.966591299,0.094589732
44,0.001,0.905573845,0.478288358,0.902231932,0.295306774
45,0.001,0.903330594,0.407594016,0.893208265,0.321493894
46,0.001,0.906155556,0.414225462,0.897070706,0.320930782
47,0.001,0.851922929,0.575002248,0.835119545,0.416820383
48,0.001,0.880257249,0.479707562,0.785318613,0.492169435
49,0.001,0.831911772,0.580711023,0.800096273,0.503374778
50,0.001,0.82121706,0.57290009,0.762439311,0.510490927
51,0.001,0.915471375,0.432907578,0.7424137,0.59160087
52,0.001,0.88060382,0.44649204,0.766440153,0.641729652
53,0.001,0.80739522,0.654953275,0.684079826,0.800551752
54,0.001,0.804047137,0.522612088,0.648502946,0.728395062
55,0.001,0.83831948,0.461003851,0.747433543,0.567369949
56,0.001,0.859990478,0.422766208,0.649574041,0.759495432
57,0.001,0.821648449,0.465294076,0.814405978,0.465272154
58,0.001,0.847221494,0.427066367,0.997344494,0.328243824
59,0.001,0.837793112,0.547291883,1.035605192,0.294520064
60,0.001,0.846998632,0.469776636,0.830762208,0.41882921
61,0.001,0.834214717,0.453346029,0.708233714,0.526977392
62,0.001,0.826407641,0.487011687,0.64677918,0.596126256
63,0.001,0.907811493,0.26136023,0.67565763,0.562243688
64,0.001,0.769676775,0.575455798,0.685897589,0.555767813
65,0.001,0.840618789,0.415820564,0.82019949,0.355306976
66,0.001,0.751449913,0.517839669,1.067944527,0.20562963
67,0.001,0.723127723,0.588397611,1.275812864,0.149492955
68,0.001,0.720052689,0.644434193,1.694131851,0.102792262
69,0.001,0.751392365,0.487049086,2.441144705,0.086365097
70,0.001,0.753263026,0.607901292,2.702719927,0.085257712
71,0.001,0.753594279,0.568824646,2.999470234,0.0849387
72,0.001,0.786306918,0.36433591,2.839870453,0.085049257
73,0.001,0.782620043,0.33875641,1.241398811,0.148596097
74,0.001,0.792288125,0.360449338,1.025651693,0.220893026
75,0.001,0.716420323,0.484594234,1.781835556,0.121553007
76,0.001,0.778076231,0.407733369,2.128237724,0.113872145
77,0.001,0.760005027,0.436676936,1.439172268,0.163365754
78,0.001,0.740495116,0.50779692,0.915860057,0.291271132
79,0.001,0.7533997,0.427346659,0.825579286,0.344854723
80,0.001,0.69889605,0.549737427,0.718679428,0.474060568
81,0.001,0.70638153,0.495508375,0.6313591,0.698173085
82,0.001,0.720195979,0.417567482,0.574762881,0.736713556
83,0.001,0.762722582,0.307026629,0.797468126,0.322727537
84,0.001,0.691670954,0.523782471,1.233403206,0.177410251
85,0.001,0.837655783,0.261179183,0.911427498,0.307135471
86,0.001,0.742259681,0.415736977,1.027530909,0.249673791
87,0.001,0.775423378,0.30021449,1.261537194,0.180066151
88,0.001,0.717959136,0.491865909,1.202586889,0.183439056
89,0.001,0.667079508,0.564679386,0.97821945,0.249168938
90,0.001,0.647655427,0.547342736,0.872932374,0.293287217
91,0.001,0.734695971,0.341306782,0.715627074,0.404863252
92,0.001,0.60918197,0.624599719,0.65941143,0.470430797
93,0.001,0.620753199,0.603214488,0.663868546,0.466334656
94,0.001,0.642232418,0.517622376,0.718557596,0.412257857
95,0.001,0.622938305,0.537526799,0.900355935,0.284398811
96,0.001,0.673290133,0.421837985,0.870203018,0.308192169
97,0.001,0.680966884,0.391217593,0.745900393,0.392767932
98,0.001,0.546951532,0.603921827,0.723677695,0.404722666
99,0.001,0.599721849,0.607501233,0.703321934,0.421916044
100,0.001,0.6088323,0.505483666,0.821022272,0.313529535
101,0.001,0.557810515,0.557400916,1.437240243,0.140317439
102,0.001,0.602582037,0.585033225,1.377255678,0.151682774
103,0.001,0.531982154,0.670152075,0.971269488,0.237003212
104,0.001,0.597916141,0.471071908,0.708399355,0.3783759
105,0.001,0.667932898,0.402123382,0.422954708,0.789587035
106,0.001,0.567982346,0.545174411,0.527611196,0.652990864
107,0.001,0.595239133,0.521492036,0.569421947,0.537139888
108,0.001,0.613520652,0.47868408,2.309869766,0.10436542
109,0.001,0.609416038,0.497290076,2.292733908,0.109809142
110,0.001,0.596245408,0.421947772,1.65590322,0.133601161
